,Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
0,ben,amh,0.28,12,42,0.0002,2028,10000,0.2028,1.0,0.4565,0.4582,0.4146,0.4998,0.2159
1,ben,ara,0.11,42,12,0.0,10000,10000,1.0,1.0,0.7371,0.7024,0.3999,0.2895,0.1836
2,ben,aze,0.26,14,40,0.0001,10000,10000,1.0,1.0,0.4057,0.4194,0.0895,0.4997,0.1773
3,ben,cat,0.26,14,40,0.0,10000,10000,1.0,0.9237,0.4688,0.5042,0.1739,0.4988,0.3027
4,ben,ceb,0.16,39,15,0.0,10000,10000,1.0,1.0,0.5953,0.5784,0.0767,0.0065,0.1621
5,ben,ckb,0.25,18,36,0.0,6279,10000,0.6279,0.8155,0.5308,0.5089,0.2151,0.2384,0.1764
6,ben,deu,0.26,14,40,0.0,10000,10000,1.0,0.9014,0.292,0.3494,0.8275,0.6073,0.2744
7,ben,fas,0.22,26,28,0.0,10000,10000,1.0,0.8155,0.5418,0.5282,0.8976,0.0087,0.1412
8,ben,fra,0.22,26,28,0.0,10000,10000,1.0,0.9304,0.5366,0.5668,0.8567,0.6072,0.3001
9,ben,hau,0.21,32,22,0.0,1071,10000,0.1071,1.0,0.5667,0.5449,0.3549,0.4992,0.3228
10,ben,hin,0.45,2,52,0.0,10000,10000,1.0,0.718,0.4207,0.467,0.8291,0.4994,0.0542
11,ben,hun,0.23,22,32,0.0,10000,10000,1.0,1.0,0.5016,0.495,0.3549,0.6072,0.2566
12,ben,ilo,0.22,26,28,0.0002,3549,10000,0.3549,1.0,0.599,0.5577,0.0405,0.0013,0.1355
13,ben,ind,0.35,6,48,0.0,10000,10000,1.0,1.0,0.5822,0.5778,0.4582,0.4993,0.1639
14,ben,ita,0.32,7,47,0.0,10000,10000,1.0,0.9196,0.5211,0.5425,0.1376,0.0218,0.2771
15,ben,jav,0.27,13,41,0.0,9243,10000,0.9243,1.0,0.5426,0.5637,0.0968,0.4993,0.1428
16,ben,kaz,0.2,33,21,0.0,10000,10000,1.0,1.0,0.3292,0.3006,0.4003,0.1694,0.1213
17,ben,kin,0.07,48,6,0.0,864,10000,0.0864,1.0,0.5837,0.5522,0.8311,0.0228,0.2729
18,ben,kir,0.22,26,28,0.0,10000,10000,1.0,1.0,0.2903,0.3338,0.3549,0.6077,0.1014
19,ben,kur,0.25,18,36,0.0,4006,10000,0.4006,0.8003,0.5106,0.4783,0.3549,0.5,0.1762
20,ben,lao,0.01,53,1,0.0,521,10000,0.0521,1.0,0.5966,0.5995,0.1171,0.008,0.072
21,ben,mar,0.48,1,53,0.0002,10000,10000,1.0,0.6936,0.3438,0.4014,0.0526,0.4997,0.0631
22,ben,mlt,0.08,47,7,0.0,1390,10000,0.139,1.0,0.5419,0.5685,0.3549,0.0113,0.2772
23,ben,mya,0.02,51,3,0.0,3282,10000,0.3282,1.0,0.5502,0.5701,0.4759,0.7047,0.0223
24,ben,msa,0.41,3,51,0.0,10000,10000,1.0,1.0,0.5555,0.5685,0.0562,0.4993,0.1075
25,ben,nld,0.18,36,18,0.0,10000,10000,1.0,0.9196,0.4647,0.4962,0.1147,0.4989,0.2898
26,ben,nya,0.04,49,5,0.0,237,10000,0.0237,1.0,0.6751,0.6151,0.1494,0.1411,0.2883
27,ben,orm,0.1,44,10,0.0,265,10000,0.0265,1.0,0.5129,0.4625,0.3549,0.0182,0.2138
28,ben,pan,0.4,4,50,0.0,7902,10000,0.7902,0.6936,0.4385,0.4791,0.048,0.6077,0.0644
29,ben,pol,0.26,14,40,0.0,10000,10000,1.0,0.8919,0.5051,0.5192,0.0583,0.0118,0.2584
30,ben,por,0.22,26,28,0.0,10000,10000,1.0,0.9273,0.513,0.5342,0.1352,0.0216,0.3215
31,ben,ron,0.31,10,44,0.0001,10000,10000,1.0,0.9147,0.5419,0.5119,0.0192,0.4991,0.2444
32,ben,rus,0.11,42,12,0.0,10000,10000,1.0,0.879,0.5051,0.5251,0.3549,0.0149,0.1466
33,ben,sna,0.17,37,17,0.0,592,10000,0.0592,1.0,0.6405,0.6318,0.0188,0.0155,0.3021
34,ben,som,0.09,46,8,0.0,1246,10000,0.1246,1.0,0.4619,0.4667,0.3549,0.6079,0.2074
35,ben,spa,0.32,7,47,0.0,10000,10000,1.0,0.9304,0.5288,0.5003,0.4146,0.4991,0.3158
36,ben,swa,0.2,33,21,0.0002,10000,10000,1.0,1.0,0.6886,0.6709,0.4766,0.4999,0.2598
37,ben,swe,0.19,35,19,0.0,10000,10000,1.0,0.9014,0.482,0.5182,0.0731,0.6069,0.2612
38,ben,tam,0.25,18,36,0.0,10000,10000,1.0,1.0,0.4292,0.443,0.0505,0.608,0.0781
39,ben,tel,0.38,5,49,0.0,5991,10000,0.5991,1.0,0.4017,0.4215,0.0782,0.6079,0.0594
40,ben,tgk,0.24,21,33,0.0,10000,10000,1.0,0.8378,0.4767,0.4334,0.2069,0.1758,0.1061
41,ben,tgl,0.3,11,43,0.0,10000,10000,1.0,1.0,0.5969,0.5747,0.4411,0.4993,0.1414
42,ben,tha,0.1,44,10,0.0001,10000,10000,1.0,1.0,0.6971,0.682,0.4731,0.0048,0.0641
43,ben,tir,0.02,51,3,0.0,81,10000,0.0081,1.0,0.3663,0.3306,0.0345,0.0128,0.2131
44,ben,tuk,0.23,22,32,0.0001,1152,10000,0.1152,1.0,0.4207,0.4266,0.4978,0.1902,0.1323
45,ben,tur,0.32,7,47,0.0,10000,10000,1.0,1.0,0.4991,0.4652,0.3549,0.0023,0.2193
